manufacturer,device,N_pos,TP,N_neg,TN,FP
Abacus Pharma International,SARS-CoV-2 IgM/IgG AB Antibody Rapid Test (Immunochromatography),30,0.7333333333333333,80,0.9875,0.012499999999999956
Abbexa,COVID-19 IgG/IgM Rapid Test Kit,30,0.9666666666666667,80,0.9625,0.03749999999999998
Abbott,Architect i1000 SARS-CoV-2 IgG,30,0.9,80,1.0,0.0
Abbott Rapid Diagnostics Jena GmbH,COVID-19 IgG Rapid Test Device,30,0.8333333333333334,80,1.0,0.0
Access Bio Inc.,CareStart COVID-19 IgM/IgG Rapid Diagnostic Test for the Detection of SARS-CoV-2 IgM/IgG Ab,30,1.0,80,0.9875,0.012499999999999956
"Access Bio, Inc.",CareStart EZ COVID-19 IgM/IgG,30,0.9666666666666667,80,1.0,0.0
Accudiagnostics,Covid-19 IgM/IgG Test Kit,30,1.0,80,0.925,0.07499999999999996
"Acon Biotech (Hangzhou) Co., LTD",Acon SARS-CoV2 IgG/IgM Rapid Test,30,1.0,80,0.975,0.025000000000000022
Advaite Inc.,ADVAITE RapCOV Rapid COVID-19 Test,30,0.8666666666666667,80,0.9875,0.012499999999999956
Advaite Inc.,Advaite RapCov Rapid COVID-19 Test,30,0.9333333333333333,80,0.9875,0.012499999999999956
Alfa Scientific Designs Inc.,Covid-19 IgG/IgM Antibody Test,30,0.8,80,1.0,0.0
Arbor Vita Corporation,CoVisa™ IgG Test,30,0.7666666666666667,80,1.0,0.0
"Artron Laboratories, Inc.",OTO-Artron COVID-19 IgG/IgM Antibody Test,30,0.8333333333333334,80,1.0,0.0
"Assure Tech. (Hangzhou) Co., Ltd.",FaStep Rapid Diagnostic Test Coronavirus Disease 2019/ (COVID-2019) IgG/IgM Rapid Test,30,0.9,80,1.0,0.0
Atlas-Link (Beijing),Nova COVID-19 IgG/IgM Antibody Rapid Test,30,0.9,80,0.9,0.09999999999999998
Aurora Biomed Inc,COVID-19 IgG/IgM  Rapid Test,30,0.7666666666666667,80,1.0,0.0
"AutoBio Diagnostics Co., LTD",Anti-SARS-CoV-2 Rapid Test,30,0.9333333333333333,80,0.9875,0.012499999999999956
BTNX Inc,COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),30,1.0,80,1.0,0.0
"BTNX, Inc.",COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),30,0.8666666666666667,80,1.0,0.0
Beijing Kewei Clinical Diagnostic Reagent Inc.,Genonto Rapid Test10 COVID-19 IgG/IgM Rapid Test Kit,30,0.9333333333333333,80,0.9625,0.03749999999999998
"BioMedomics, Inc.",BioMedomics COVID-19 IgM-IgG Rapid Test,30,0.9666666666666667,80,0.9625,0.03749999999999998
